id,model,score
6013,BERT,0.5517628344121112
2525,PG,1.017607120442633
3782,PG,0.9168935681466935
9006,PG,-1.0589901264418087
1936,PG,-1.0589901264418087
1411,PG,-1.0589901264418087
5006,BERT,0.2737508306449277
2772,BERT,0.5403366571593721
6740,BERT,1.5015791312812221
9971,PG,-0.5690260826546928
4711,PG,-1.0033264669808573
2327,BERT,-0.835987289504733
7966,PG,-0.6611443557921014
1248,PG,-0.9634880742513383
8719,PG,0.1260357174601748
2067,BERT,-0.9356562445208626
7580,PG,-0.9009282255425096
2756,BERT,0.09354283942610592
2051,BERT,0.5307480669584559
4711,BERT,-1.0589901264418087
4370,BERT,1.0557488524184757
10262,PG,1.3825281646261711
7454,PG,-0.6322354039078477
3497,BERT,-0.4374125957945177
1120,PG,0.6871105544019764
10657,PG,-0.7992263822907021
2067,PG,-0.8527560271616723
6770,BERT,-0.5765717444468963
3897,BERT,-0.2101713400767832
5639,BERT,-0.8039885569485982
3058,BERT,0.022713749496207886
2248,BERT,-0.8039885569485982
807,PG,-0.8827218714821292
767,BERT,1.5015791312812221
814,BERT,1.5093027790143705
4444,BERT,1.5093027790143705
3088,PG,0.3069202006930864
9492,PG,-0.9012764246357797
8659,BERT,1.5093027790143705
6536,PG,0.09198921058242897
7070,PG,-0.7621617724686373
3182,PG,1.5015791312812221
1186,PG,-0.5929922830105657
8583,BERT,1.5015791312812221
9006,BERT,-0.4872622082478873
4989,BERT,0.3394600043693689
7198,BERT,-1.0218810201345079
3782,BERT,0.6573078099365315
5006,PG,-0.8919991480589543
8921,BERT,-0.9497948327105837
7454,BERT,-0.9497948327105837
1782,PG,0.42666452353634526
10613,PG,-0.2214213954164236
6627,BERT,-0.9497948327105837
3061,BERT,-0.9497948327105837
7966,BERT,-0.9497948327105837
1445,BERT,-0.6431408083068489
1734,BERT,0.24419978004387802
3497,PG,-0.14938446205766054
4506,PG,1.4066501603388024
175,BERT,1.4066501603388024
6536,BERT,-0.5601781476743247
6520,PG,-0.14938446205766054
1411,BERT,-0.32822775367675633
9576,BERT,-0.9497948327105837
6961,BERT,1.4066501603388024
5901,BERT,-0.6616470992755313
1917,BERT,1.4066501603388024
3750,PG,-0.9497948327105837
3061,PG,-0.14938446205766054
7984,BERT,-0.5736019585037099
5020,BERT,-0.9497948327105837
7635,PG,-0.14938446205766054
807,BERT,-0.8697537956452915
7635,BERT,0.15451655227062147
2919,PG,-0.3975116769600667
6281,PG,0.5800358004220899
2666,PG,-0.6804083167640426
5740,PG,-0.9497948327105837
1917,PG,1.4066501603388024
767,PG,1.4066501603388024
3725,PG,1.4066501603388024
7070,BERT,-0.6696512029820606
9993,BERT,1.4066501603388024
9106,PG,-0.821729173406116
1936,BERT,-0.7817086548734699
8342,BERT,1.4066501603388024
6961,PG,1.4066501603388024
