id,model,score
108,BERT,-0.27842690612581406
125,BERT,-0.4930815238551543
41,PG,0.1070272319741545
15,PG,-0.29478047092452436
88,PG,-0.18232081856016555
12,BERT,0.44565106849067043
123,BERT,0.9833729348327425
127,PG,0.25830731555353825
16,BERT,0.6690939323974074
63,PG,-1.7083711434890823
127,BERT,0.7003551217819634
39,PG,0.14120199959326535
128,BERT,0.19467123041207526
58,PG,0.0735341432753928
132,BERT,0.806898587800779
78,PG,-0.6898581700568348
107,BERT,-0.4142116570781768
115,PG,0.5802422567079618
72,BERT,1.0308708008200909
133,BERT,1.0621319902046469
20,PG,0.12939095399758196
113,BERT,-0.003253217192875043
82,PG,-0.6185527368726724
87,PG,0.43265123639397857
79,PG,0.17251466125324347
122,PG,0.6684697921117698
35,PG,-0.5661305832362672
73,BERT,-0.4461591239086234
79,BERT,0.11225793072933031
35,BERT,-0.8604387586730343
111,BERT,-0.09301518335514114
31,PG,1.2641592987759118
92,BERT,0.2668595798759623
65,PG,0.695291380989346
1,BERT,0.6938106796519806
7,PG,-0.2112171189860259
91,PG,-0.12653743627067235
0,BERT,0.7584473653660005
52,BERT,1.347536619916933
59,PG,-0.9264616823047421
3,BERT,-0.16895266491507277
24,BERT,0.745281672241133
24,PG,0.39501442557555516
33,BERT,-0.14955918211111552
73,PG,-0.4946045203307054
85,BERT,0.7228511916744854
84,BERT,-0.002230116995715662
17,BERT,0.020556698942453877
70,BERT,-0.5396833903867602
95,PG,1.9748397558690696
30,PG,-0.32816515168650445
26,PG,-0.12103354688473648
116,BERT,-0.9099150585920732
115,BERT,0.4769594016285737
134,PG,1.2439220071214394
36,PG,-0.04112844394924644
110,PG,0.48334463141984346
60,PG,1.181890730273103
8,PG,0.377827012589246
94,PG,0.6407655246581556
3,PG,-0.784077957477181
23,PG,-0.7150930613557213
111,PG,0.49132673588736503
99,BERT,1.003449916353879
90,PG,-0.9493731329789096
62,PG,-0.5250469756747408
74,PG,-0.03812550617711019
72,PG,1.0981735301406939
64,PG,-0.3686601749607625
43,BERT,1.4660666619396847
118,BERT,0.6141211845294077
70,PG,0.39409374703998584
120,BERT,-0.5406511085998834
33,PG,-0.6536470944318906
39,BERT,0.9626073550580893
123,PG,-0.9201969947397753
110,BERT,1.1949114784486932
86,BERT,-1.9795769934122542
6,BERT,-0.15564674973887735
66,PG,0.1832155156522335
13,BERT,-0.2618007891535096
76,PG,-0.7102351920010355
56,PG,0.841007651428177
89,PG,0.3220148080714655
43,PG,1.0280150240804036
108,PG,-1.083723114190527
28,PG,0.5640256408109726
77,BERT,-0.688286155552733
102,PG,-0.2637930272143405
100,BERT,-1.0540323735434918
26,BERT,1.5577803989818968
55,BERT,-0.2975258601528421
114,BERT,-1.1365825477933313
7,BERT,0.47322100756488306
14,BERT,1.3483770371917252
0,PG,0.6428024542562275
4,BERT,-0.597159102529288
126,BERT,0.010351129619807628
103,PG,-0.42566570876419085
68,BERT,-0.21767002023391302
93,BERT,-0.23661849884631833
120,PG,-0.4642367019506439
71,BERT,-0.9024961719278187
29,BERT,1.3669265560812551
126,PG,-0.07148744190578853
10,BERT,-0.9646331143570785
89,BERT,0.8971853866868634
98,BERT,0.5030943791359713
22,PG,-0.07853683152169551
14,PG,1.37981215210203
106,PG,0.2600658419184429
67,PG,1.201639091670674
27,BERT,-0.677997634384708
42,PG,0.25478517464523576
50,PG,0.06175446220522037
30,BERT,1.227014077818789
53,BERT,-1.0412584489594816
46,BERT,0.23505154968556422
112,BERT,0.18673971201983963
11,PG,-1.7845238531587428
57,PG,-0.7190116798265791
98,PG,-0.48128340831968136
38,PG,-0.17422858644291642
67,BERT,0.004766494444206959
6,PG,-0.19556180067136877
32,BERT,1.8529750262622275
13,PG,-1.4615960766238112
54,PG,1.0716209228918852
76,BERT,1.5806803833227476
81,PG,0.7675880079921829
37,PG,0.5184036841608931
101,BERT,-0.512827872775201
51,BERT,0.11285944296415784
85,PG,0.01887446655506886
119,PG,-0.08336297002907976
53,PG,-1.0286132530938943
45,PG,-0.785404962328167
71,PG,-1.382871926891099
45,BERT,0.6364899087599613
50,BERT,0.4702286628472083
56,BERT,-0.10450678370753257
12,PG,0.24396525757410922
49,BERT,0.714295473297388
91,BERT,-0.0011208995125721783
100,PG,0.5117752172912517
21,BERT,-0.8844137052498553
28,BERT,0.825193043735375
87,BERT,0.4071336995855266
114,PG,-1.3733960791053834
86,PG,-1.7873062204185022
25,BERT,-0.7287115370414369
121,BERT,0.548201089624511
74,BERT,0.21710869715495415
63,BERT,0.5505910510907909
109,PG,0.6003359361434827
18,BERT,0.9457172113977456
119,BERT,-0.5837061403338462
133,PG,0.5851387761316768
124,PG,-1.0264667586487943
117,BERT,1.0804528757119674
47,PG,0.827040250554432
59,BERT,-0.4004673684983044
5,PG,0.4968136108045324
10,PG,0.29637911677720535
104,PG,0.8331587608227923
107,PG,-0.8602511523170374
4,PG,0.5294498599572824
5,BERT,0.08194858713033572
116,PG,0.6975625704442114
41,BERT,-0.5924074088132304
105,PG,1.4340513022472792
61,PG,-1.4600434242306424
90,BERT,0.13667171423972274
131,BERT,0.808305148514016
46,PG,-0.4400947078522444
16,PG,-1.298768352956188
62,BERT,0.3621475108838325
68,PG,-1.355373614414899
93,PG,1.041479144233444
55,PG,0.8739185223004946
121,PG,0.6482605265333982
40,BERT,1.4340513022472792
97,PG,0.46881577961469256
