id,model,score
12466,BERT,1.4413219090418599
15654,PG,0.8129878461532023
6384,BERT,1.3575722914486634
11440,BERT,-0.848089430723534
1402,BERT,-0.3368427972249699
4544,BERT,0.8946113371616766
5804,BERT,-0.15623172683244257
6863,PG,1.2435326132853002
9763,BERT,-1.0463777972737034
15368,PG,-0.2532243310730259
5915,PG,1.7746725887040615
8426,PG,-0.5924092807616295
1960,PG,-0.1843541909789437
9960,PG,-1.0004643705443153
10851,PG,0.04691350307638039
10842,BERT,-0.19066679687948362
11440,PG,-0.9315942304502332
6319,PG,-1.0463777972737034
14634,BERT,0.5270704053189309
6884,BERT,0.13459534705828213
11839,PG,1.5404821097061083
9508,PG,0.4354770698677956
1159,PG,1.4967475792592422
3436,BERT,0.6474547241611619
13453,PG,-0.6074344594643168
8162,PG,0.11996068742566518
2215,BERT,-0.9516281588722982
2211,BERT,-1.0348994405913563
9582,PG,-0.07627374912608369
9582,BERT,0.1140830827620789
874,PG,-0.0873615867383604
11865,PG,-0.09051788968863039
15273,BERT,0.4745354852658494
2677,BERT,-0.35503046403507826
4776,PG,-0.05809226747312646
3496,PG,-0.6529573671236345
