id,model,focus,coverage
137,BERT,-0.7000226376763696,-0.6971833795098481
137,PG,-0.4367447220087017,0.5348079798962719
138,BERT,-0.4970388956419625,-0.6972839898952351
138,PG,0.2851087585726511,0.5422636828724521
140,BERT,-0.20034051987523332,-0.26128266138437883
140,PG,-0.5104466089175997,0.06776726413523752
141,BERT,-0.5526417350709782,-0.7617555247495197
141,PG,-0.15504375224840009,-0.3300593879606082
161,BERT,-0.8006676240163584,-0.4218655384442649
161,PG,-0.4830696387667026,-0.3421888819897605
167,BERT,0.9365452547290763,1.6790172189762955
167,PG,-0.36463892788849145,0.21173594096158854
169,BERT,-0.4758461545157675,-0.5996969566360774
169,PG,0.17266602340619014,1.6520925353364213
176,BERT,-0.6972839898952351,-0.4970388956419625
176,PG,-0.7617555247495197,-0.16173493417226162
179,BERT,-0.7298643542012943,-0.6972839898952351
179,PG,1.2403930930673337,1.9722375012830549
186,BERT,0.11523484058134476,0.026338836301083763
186,PG,-0.7023797033613933,-0.6124252211189128
187,BERT,-0.6972839898952351,-0.5801795499842458
187,PG,-0.2549257839590893,-0.1925893612687498
190,BERT,-0.14714410122703034,0.07739724704824524
190,PG,0.30435434221056545,1.2348099348633068
196,BERT,-0.7617555247495197,-0.7298643542012943
196,PG,0.5586614640465641,0.5166871482304018
217,BERT,1.749289291213845,2.768643829355826
217,PG,-0.3698824488847929,0.15692153425195102
225,BERT,0.19960908155527896,1.0130355465655951
225,PG,1.3020923602056185,2.317956720780116
228,BERT,-0.42608942775028336,-0.2351178372621085
228,PG,-0.17422511673924368,0.4326544324042207
235,BERT,-0.4758461545157675,-0.7617555247495197
235,PG,-0.8006676240163584,-0.6971833795098481
241,BERT,0.7290643755698684,1.6550736555379588
241,PG,1.5830114946746037,2.746964380269897
250,BERT,-0.4758461545157675,-0.3652296876263394
250,PG,2.189455050208002,2.6550762689666043
253,BERT,-0.7617555247495197,-0.8006676240163584
253,PG,-0.7617555247495197,-0.4555565520377082
259,BERT,-0.8006676240163584,-0.6387317699397403
259,PG,-0.04706866998207404,0.03320876417834223
262,BERT,0.4282461724564966,0.056438145957494974
262,PG,-0.2705604396909841,-0.0258702279464792
264,BERT,-0.6192143632879089,-0.7617555247495197
264,PG,-0.4181562055232011,0.3408853712959501
275,BERT,0.4167074394377816,1.4093429519382612
275,PG,-0.5724904478000113,-0.36306635127341136
283,BERT,-0.7617555247495197,-0.6972839898952351
283,PG,-0.46193628849163504,-0.5011441369946705
286,BERT,-0.4524675886054838,-0.4227284399885996
286,PG,0.3432532568434585,0.3587915549603025
295,BERT,-0.6972839898952351,-0.7617555247495197
295,PG,-0.13337513101706158,-0.7699127976186336
296,BERT,-0.6497674673666155,-0.6971833795098481
296,PG,-0.6972839898952351,-0.6972839898952351
301,BERT,-0.32749696663240296,-0.0869406229545711
301,PG,-0.21153328787213932,-0.1273461041424903
309,BERT,0.21210285357401415,0.17246781873843114
309,PG,-0.3765954649787062,-0.0258702279464792
318,BERT,0.29182094197192504,-0.14069872261538222
318,PG,0.05452638059838152,-0.3743979619981577
321,BERT,-0.8006676240163584,-0.8006676240163584
321,PG,0.280474219774524,1.5140422001956315
337,BERT,0.30081005229498786,0.5422636828724521
337,PG,-0.09597901658391446,0.5422636828724521
339,BERT,0.33800316036558176,0.4286887209591311
339,PG,0.3395177534474625,1.373597642821623
348,BERT,-0.1459699649516802,-0.24928303319322184
348,PG,0.5117398474902172,1.078041808676966
365,BERT,1.0761385157121781,1.2001660238936485
365,PG,-0.34644779220388205,0.10525902724647576
366,BERT,-0.7617555247495197,-0.6972839898952351
366,PG,-0.2051748290261916,-0.18879983652629048
369,BERT,-0.6971833795098481,-0.5551749905387239
369,PG,-0.7617555247495197,-0.6971833795098481
371,BERT,-0.42903293699760825,0.08246457430136286
371,PG,4.34069593663892,3.9641092570915024
375,BERT,-0.3934172319236371,-0.3473237343246314
375,PG,-0.1853467716326307,0.4419715405449027
387,BERT,-0.2799133279965596,0.27370379691721386
387,PG,-0.2756665214181665,0.6748126085317407
388,BERT,-0.7137649630963199,-0.4970388956419625
388,PG,-0.6898159107839549,-0.6898159107839549
395,BERT,1.4667444087647548,0.7508700399906574
395,PG,-0.29671386697537355,-0.5222705712475552
399,BERT,0.6123720411066751,0.4638962799473691
399,PG,0.1671503305433177,2.0435774259915007
404,BERT,-0.09078021526870174,-0.33156596535694244
404,PG,0.5898415331642881,1.9903046500812556
405,BERT,-0.5353830249581828,-0.21506120584027924
405,PG,-0.7617555247495197,-0.7617555247495197
409,BERT,1.6082091644054086,0.4644626600412352
409,PG,0.7816188054915049,0.7566907324219988
416,BERT,-0.12998806377173724,-0.08563377432029
416,PG,-0.3934172319236371,-0.4122679311371827
417,BERT,-0.6972839898952351,-0.8006676240163584
417,PG,-0.5163235692948648,-0.3614353505889854
422,BERT,-0.8006676240163584,-0.6972839898952351
422,PG,-0.6387317699397403,-0.4334606722633776
428,BERT,0.935836225690068,0.2434239240017213
428,PG,0.12727372817396124,0.9952157761974776
431,BERT,-0.4546534133895726,-0.7617555247495197
431,PG,-0.19331095861016007,-0.4688424182789546
437,BERT,-0.6971833795098481,-0.6971833795098481
437,PG,-0.15326251519282075,1.1041628619104222
438,BERT,-0.6971833795098481,-0.6243568531344311
438,PG,-0.2093488235994467,-0.7617555247495197
441,BERT,-0.11754267311579,-0.340666909428381
441,PG,0.2440618846708933,1.0898321322834983
444,BERT,4.422819965431937,1.7012767128660091
444,PG,-0.7699127976186336,-0.4334606722633776
450,BERT,-0.4970388956419625,-0.6972839898952351
450,PG,-0.5696705805319368,-0.5472581152850257
455,BERT,-0.6898159107839549,-0.8006676240163584
455,PG,0.6022484178012161,0.9956609545945272
457,BERT,0.6022131446476989,1.4448858771933732
457,PG,0.3457953874603786,1.5560058081191073
459,BERT,-0.3829962004831078,2.0314222994204445
459,PG,-0.46193628849163504,-0.4266769703069597
462,BERT,-0.5888974201281433,-0.7617555247495197
462,PG,0.1064615690729691,0.14741977370140405
463,BERT,-0.8006676240163584,-0.40312451573708175
463,PG,-0.4546534133895726,-0.4552861381235041
468,BERT,-0.25937640446220656,-0.11860664873936864
468,PG,-0.3627431906724101,0.5618840011427505
475,BERT,-0.5991637582522592,-0.8006676240163584
475,PG,0.16352031632502265,0.8776323551451976
480,BERT,-0.6971833795098481,-0.7617555247495197
480,PG,-0.8006676240163584,-0.4266769703069597
